date,total_not_withdrawn
2024-02-13,6.638578000000002
2023-10-04,5.916150568000001
2023-11-19,15.4549978152
2023-09-03,1.0752402000999999
2024-01-22,6.5046735912
2023-11-03,9.229414
2023-12-29,1.8128474999999997
2024-05-18,2.284719179960167
2024-05-19,2.2996864293009533
2024-08-18,0.10583536365017496
2024-01-25,0.9570690048
2024-09-26,1.5909410013947214
2024-09-12,1.3009659028315586
2024-04-04,11.126264740000002
2023-09-26,4.235910020999999
2023-12-22,2.66244633
2024-01-31,0.21630684240000006
2024-07-20,1.2845631
2023-08-20,22.7635766225
2024-04-18,9.4369434
2023-09-05,4.3753077001
2024-08-02,0.10555106821178852
2023-11-11,2.4109093493
2024-01-06,8.934631999999999
2023-10-29,4.6129877
2024-05-16,6.0092840039999995
2023-08-14,4.2542685239999996
2023-10-26,148.2641233023
2024-01-01,1.30457945
2024-09-01,2.506964087876489
2024-07-03,0.0488
2024-02-03,5.674411660000001
2023-08-03,7.746102200000001
2023-08-19,7.401038435000002
2024-03-20,14.635319931999998
2023-09-27,11.651061284000003
2024-03-12,3.337141451616999
2023-12-05,6.559473999999999
2023-09-12,3.402571
2024-01-18,0.23607601499999997
2024-08-20,0.11715
2024-04-11,13.41454873
2023-09-28,3.1343509786
2023-10-05,2.3920484000000006
2023-10-01,2.0219657403999998
2024-02-07,0.8182216762199999
2024-09-10,0.30303246998013117
2024-08-11,0.6599410333582079
2023-10-15,2.7736264559999997
2024-03-24,3.684878101000001
2023-08-17,25.3484746
2023-08-28,11.890801313
2023-10-24,9.554839178000003
2023-11-01,4.0470469321000015
2023-10-11,3.2218258000000013
2023-09-02,2.4620408969999996
2023-12-18,3.1236305
2024-01-03,0.6565013
2023-08-09,4.694353473
2024-04-02,27.416600293721995
2023-08-05,7.827678025418356
2024-10-03,0.16777955108311368
2023-11-07,2.063221312099999
2024-09-29,1.0634944664867096
2023-09-18,3.7497057066000004
2023-11-16,4.284020000000001
2024-08-21,1.99390411457087
2024-02-08,0.44917548634199994
2024-03-29,6.4306452146
2024-09-20,0.19338
2023-12-16,9.185803599999998
2024-09-23,1.1151203637990261
2024-07-19,0.09697010661204111
2023-07-11,0.12345678901234569
2024-07-09,0.29043895
2023-08-07,4.562751520000001
2024-03-16,3.0571332899999994
2024-09-02,0.42081000001
2024-04-16,24.39565306980001
2023-10-06,1.6881770660000004
2024-01-30,0.9568262296000001
2024-02-28,1.470686093
2024-02-29,247.11826446400002
2024-09-18,0.08132024196734426
2024-09-19,0.5486775522805761
2024-03-31,17.587384000001087
2023-11-24,5.642656200000001
2023-09-21,6.454624560000001
2024-08-05,1.3342575712115274
2024-05-20,0.941962883142663
2023-11-06,1.5959602299999995
2023-07-31,0.19084082000000002
2024-08-28,1.5059494498942094
2023-12-06,1.953232
2024-09-11,0.7851879843021312
2023-08-02,0.267541417
2024-10-01,0.20641241
2024-09-27,0.09533
2024-07-25,0.045683821
2024-02-01,20.609474289999994
2024-01-08,0.548178
2023-08-18,7.613361464999998
2024-04-19,20.056399579900003
2024-08-14,0.2371
2023-09-15,2.064760182
2023-12-08,1.8011389999999998
2023-12-23,1.6382259999999997
2023-09-22,2.7298721
2023-09-30,1.469784727
2024-01-15,1.3449643299999996
2023-12-03,8.867653537999999
2023-09-16,2.612336794630001
2024-04-01,9.951993948
2023-10-16,5.6077568200000005
2023-12-02,6.153646000000001
2024-09-09,0.277025
2024-03-03,2.4594749739999995
2023-11-21,28.80965
2023-10-14,1.5697554900000001
2024-02-12,4.290842914593
2024-08-09,0.4338621
2024-01-09,1.192361089
2024-09-28,0.55989
2024-01-10,0.8039474828339999
2024-07-29,0.205890536
2023-12-25,3.5400397200000002
2024-04-21,18.2178550198
2024-02-27,0.6789320329999998
2023-11-15,5.6202903046
2023-12-09,1.901821
2024-04-25,1314.1087836220001
2024-04-15,5.2705850100000005
2023-08-31,4.035588500000001
2023-12-10,3.2260766314999993
2024-03-19,1.0098875978
2023-11-20,16.9880811
2024-04-22,23.027014053700004
2023-08-10,11.290897710000001
2023-08-06,31.37775368400001
2023-10-13,5.599471560000001
2023-10-03,3.0628023200000003
2024-06-29,0.34790183334301755
2024-08-12,0.00881
2024-09-04,47.035382873962845
2024-09-05,1.1167699456298505
2024-07-30,1.469955950124712
2024-09-24,0.2594990573790193
2023-12-30,10.737914025000004
2023-12-31,0.8848812001999999
2023-09-20,6.881128522300002
2024-03-25,7.0211826971
2024-01-17,2.7154181981
2023-11-12,8.7529297742
2023-11-26,37.35150970499999
2024-03-27,13.855315023999996
2024-01-29,0.6403278649999998
2023-12-13,2.3244470000000006
2023-09-17,4.336763028262
2024-04-24,1023.967421703935
2023-11-10,10.281909429999997
2024-09-03,11.198358150867788
2024-08-25,2.1608919999999996
2023-11-14,10.950957532
2023-12-24,0.9610770000000001
2024-07-17,0.6494405813607008
2024-09-25,0.4624
2024-09-30,0.7560498461999999
2023-08-23,9.251037609999997
2024-02-09,1.474399820344
2024-03-30,24.611218089899996
2023-09-08,1.8885690000000002
2024-07-28,6.962951285
2024-06-27,0.521767629150309
2023-09-09,3.820561972
2023-12-04,2.794765999999999
2024-08-23,0.051506
2024-08-22,0.5198000300000001
2024-04-23,43.799064358999985
2024-01-20,3.1255952884000004
2023-08-21,9.2435604
2024-03-08,1.308741172762
2024-02-22,1.7633958141730006
2023-11-28,3.1957109030000006
2024-01-16,1.336275684
2024-03-15,3.9019270304000004
2024-09-08,0.589897
2023-08-04,4.8576771700000005
2024-09-07,0.26057800000000003
2023-09-23,6.563692442136
2023-11-30,7.883178
